Production Rate,Furnace Temperature,Machine Operation Hours,Ambient Temperature,Maintenance Score,Energy Consumption (kWh)
147.82187426245162,789.0266387106249,19.92242590826816,30.85187475086787,38.60509356518358,5768.154388191779
146.80921616172685,781.546338932804,17.70758195241806,20.629230269917944,21.208123747737773,5671.046544105136
152.72629804045133,806.0339617159982,18.24943326255183,17.787102843543465,55.921813176845816,5899.159498077172
156.51019292416427,812.2713378558336,20.29198465053227,22.098631096920776,76.53162995253862,5970.598104353861
167.22034727889132,805.4001682464708,19.59076781168016,26.547855887327085,37.20435678122074,6084.428760096791
145.3027580024418,792.5561156792493,17.512463453712275,24.092204678604865,67.34197289114327,5719.339554665239
145.74271605567392,798.5430476652754,17.735060775556782,22.600605627213177,49.23670487012489,5711.806075663986
137.83176401927608,798.0838369706569,17.21870106423691,29.28765874381971,45.56495494398774,5650.204711014054
135.4901795213647,815.3190140310367,18.14743114966603,32.183481541871366,92.46417911286366,5638.990554835202
145.62989506033503,804.7418574167757,17.487833432008472,16.40108911285173,96.58366688075836,5786.978710067509
143.47755432269886,795.7916820750389,18.10059973045947,25.074995931443503,92.6907562145864,5711.6313088730685
142.67929624418196,808.424107346633,18.937967790759647,19.325523635819312,50.19454051318417,5765.802982883393
154.6960270425217,789.3502244723694,17.702146798136223,34.77499818940567,47.78673549131358,5774.085403832984
144.21285802121395,790.6399627919902,18.779326811981832,25.105679511601945,41.09425523501099,5759.897840685613
158.10097333946229,799.6311471038465,20.10784122177573,19.191725448938527,40.63322309637678,6015.150267644913
157.99602892635434,790.6847726925371,17.95869689767683,27.50923453532783,33.37765970697978,5842.955289458047
143.0890892388522,807.5249771718659,17.08442902009992,37.99033640683962,21.354285449034137,5707.538312915968
162.31244468355598,797.1988761263982,19.211131289214787,22.50871739256837,49.43708110457581,6004.419093012984
140.85996079181623,813.510459581163,18.33216754493471,25.43918194601017,98.56007339528004,5784.952269378013
146.1233547447612,810.5400509033987,15.954324226122315,19.21176744549571,35.34731920607206,5688.8263157100055
150.1479611973431,821.2457480279213,18.573028059528227,13.781101962807016,82.95658314283686,5888.512146069461
164.4211857493764,816.8866081763392,16.51343736720605,24.09854206721044,68.66786117241294,5982.867112292717
150.15158326073,808.8163379438023,18.036326095212026,23.2151067947569,32.67388905686336,5839.333246656165
152.65597375158248,783.5840815866072,16.312576528746597,27.749008688732197,60.73244167930659,5701.970054712693
146.3434664695736,800.230810155197,19.14007500860552,27.01686977815737,85.08527573220954,5786.310063563725
142.606047254803,805.1056907866242,16.24612153087381,15.538021106854018,6.803731409166969,5728.638210240348
159.6233027093679,798.7833311764233,18.204626680183477,13.551987177260155,89.7532326522084,5906.633452610252
141.10284881385286,809.6714000017754,17.96265807675375,32.30916827052553,87.4743649656566,5692.636764422728
152.86059743512655,808.9694415609207,19.27440211975434,31.4186287299031,16.372895787917095,5901.562215332159
